Date,Company,Role,Link,ATS score
09/10/22,Goldman Sachs,Associate Software Engineering - GS Web Products (New York NY),https://www.linkedin.com/jobs/view/externalApply/3203884041?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104161%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=Va32&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=jw8la7iGwv0p5ncp03%2Flbw%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,GS EC - SWE - Full Stack/Back End Engineer,https://www.linkedin.com/jobs/view/externalApply/2814200740?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F87698%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=fC1B&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=t2XNuy6o%2FmoVSXi1ZT8L0Q%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,GS EC - SWE - Full Stack/Back End Engineer,https://www.linkedin.com/jobs/view/externalApply/2814202574?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F87701%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=06kC&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=GWbItrhmpXVSdWz43NV49Q%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,2022 | Full Stack/Back-end Software Engineer | Analyst | Dallas,https://www.linkedin.com/jobs/view/externalApply/2814207167?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F87616%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=zB6G&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=OPdEXBLhko4YAwRClr7NPw%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,Engineering-L2-DALLAS-Associate-Software Engineering,https://www.linkedin.com/jobs/view/externalApply/3234570325?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F105138%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=RLtF&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=fkJLWkJdFvcD%2FxlNFO9KVA%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,Software Engineer - Equity Derivatives Engineering - Associate,https://www.linkedin.com/jobs/view/externalApply/3077093885?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F99963%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=deAW&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=FIeVhCJ%2FRuCB9l14BvGyKA%3D%3D&trk=public_jobs_apply-link-offsite,4.36%
09/10/22,Goldman Sachs,Software Engineer Dallas,https://www.linkedin.com/jobs/view/externalApply/3234569978?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F105007%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=FQie&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=0xKP7miV%2F9m52tMyLhclWw%3D%3D&trk=public_jobs_apply-link-offsite,6.38%
09/10/22,Goldman Sachs,Software Engineer Mobile Platform Team- Associate- Dallas,https://www.linkedin.com/jobs/view/externalApply/3262495271?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F103074%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=3lb7&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=pPh0dW%2FeQ76XwOcT68TEeQ%3D%3D&trk=public_jobs_apply-link-offsite,7.14%
09/10/22,Goldman Sachs,Engineering-DALLAS-Associate-Software Engineering,https://www.linkedin.com/jobs/view/externalApply/3256853543?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104379%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=ZA3P&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=xENtxBtNrmJR5iQVbdo4wQ%3D%3D&trk=public_jobs_apply-link-offsite,7.7%
09/10/22,Goldman Sachs,Analyst Software Engineering - GS Web Products (New York NY),https://www.linkedin.com/jobs/view/externalApply/3250875665?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104479%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=DXeM&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=49cZI%2F8%2F0d1e8Wmuxkw3ug%3D%3D&trk=public_jobs_apply-link-offsite,4.68%
